query_id,query_type,coding_notes
3611a72f754de1e256fbd25b012197e1c24e8470,factual,
4c07c33dfaf4f3e6db55e377da6fa69825d0ba15,factual,
b1ce129678e37070e69f01332f1a8587e18e06b0,factual,
0d755ff58a7e22eb4d02fca45d4a7a3920f4e725,section_specific,
ff2bcf2d8ffee586751ce91cf15176301267b779,factual,
55588ae77496e7753bff18763a21ca07d9f93240,factual,
d4456e9029fcdcb6e0149dd8f57b77d16ead1bc4,factual,
d0b967bfca2039c7fb05b931c8b9955f99a468dc,factual,
31e6062ba45d8956791e1b86bad7efcb6d1b191a,factual,
38b29b0dcb87868680f9934af71ef245ebb122e4,factual,
6e134d51a795c385d72f38f36bca4259522bcf51,section_specific,
0778cbbd093f8b779f7cf26302b2a8e081ccfb40,factual,
8908d1b865137bc309dde10a93735ec76037e5f9,factual,
d207f78beb6cd754268881bf575c8f98000667ea,factual,
380e71848d4b0d1e983d504b1249119612f00bcb,factual,
21c89ee0281f093b209533453196306b9699b552,factual,
5096aaea2d0f4bea4c12e14f4f7735e1aea1bfa6,factual,
452e2d7d7d9e1bb4914903479cd7caff9f6fae42,factual,
7b4992e2d26577246a16ac0d1efc995ab4695d24,factual,
ab9b0bde6113ffef8eb1c39919d21e5913a05081,multi_hop,
9a9d225f9ac35ed35ea02f554f6056af3b42471d,factual,
ea56148a8356a1918bedcf0a99ae667c27792cfe,factual,
cd32a38e0f33b137ab590e1677e8fb073724df7f,factual,
82b93ecd2397e417e1e80f93b7cf49c7bd9aeec3,factual,
bab4ae97afd598a11d1fc7c05c6fdb98c30cafe0,factual,
f5913e37039b9517a323ec700b712e898316161b,factual,
a064d01d45a33814947161ff208abb88d4353b26,factual,
218bc82796eb8d91611996979a4a42500131a936,factual,
b21bc09193699dc9cfad523f3d5542b0b2ff1b8e,factual,
352bc6de5c5068c6c19062bad1b8f644919b1145,factual,
a7adb63db5066d39fdf2882d8a7ffefbb6b622f0,factual,
980568848cc8e7c43f767da616cf1e176f406b05,factual,
f1b738a7f118438663f9d77b4ccd3a2c4fd97c01,factual,
d6a815d24c46557827d8aca65d3ffd008ac1bc07,factual,
cdf7e60150a166d41baed9dad539e3b93b544624,factual,
c06b5623c35b6fa7938340fa340269dc81d061e1,factual,
d325a3c21660dbc481b4e839ff1a2d37dcc7ca46,factual,
5e29f16d7302f24ab93b7707d115f4265a0d14b0,factual,
26844cec57df6ff0f02245ea862af316b89edffe,factual,
d1d59bca40b8b308c0a35fed1b4b7826c85bc9f8,factual,
a4ff1b91643e0c8a0d4cc1502d25ca85995cf428,factual,
7633be56ae46c163fb21cd1afd018f989eb6b524,factual,
fb56743e942883d7e74a73c70bd11016acddc348,factual,
1adbdb5f08d67d8b05328ccc86d297ac01bf076c,factual,
da82b6dad2edd4911db1dc59e4ccd7f66c5fd79c,factual,
70c2dc170a73185c9d1a16953f85aca834ead6d3,factual,
38854255dbdf2f36eebefc0d9826aa76df9637c6,factual,
1d6c42e3f545d55daa86bea6fabf0b1c52a93bbb,factual,
0871827cfeceed4ee78ce7407aaf6e85dd1f9c25,factual,
e9d9bb87a5c4faa965ceddd98d8b80d4b99e339e,factual,
3554ac92d4f2d00dbf58f7b4ff2b36a852854e95,section_specific,
ab0fd94dfc291cf3e54e9b7a7f78b852ddc1a797,factual,
6ca938324dc7e1742a840d0a54dc13cc207394a1,factual,
4fa6fbb9df1a4c32583d4ef70d2b29ece4b3d802,factual,
4d47bef19afd70c10bbceafd1846516546641a2f,factual,
16fa6896cf4597154363a6c9a98deb49fffef15f,factual,
0f60864503ecfd5b048258e21d548ab5e5e81772,section_specific,
fe578842021ccfc295209a28cf2275ca18f8d155,factual,
00ef9cc1d1d60f875969094bb246be529373cb1d,section_specific,
279b633b90fa2fd69e84726090fadb42ebdf4c02,factual,
4266aacb575b4be7dbcdb8616766324f8790763c,synthesis,Broad conclusion drawn from the paper's detailed analyses.
191107cd112f7ee6d19c1dc43177e6899452a2c7,factual,
b0dca7b74934f51ff3da0c074ad659c25d84174d,factual,
601e58a3d2c03a0b4cd627c81c6228a714e43903,factual,
1a7d2ade16149630c0028339a816fcafa8192408,factual,
61c9f97ee1ac5a4b8654aa152f05f22e153e7e6e,factual,
6236762b5631d9e395f81e1ebccc4bf3ab9b24ac,multi_hop,
31d695ba855d821d3e5cdb7bea638c7dbb7c87c7,factual,
bd6cec2ab620e67b3e0e7946fc045230e6906020,section_specific,
4b0ba460ae3ba7a813f204abd16cf631b871baca,section_specific,
63b0c93f0452d0e1e6355de1d0f3ff0fd67939fb,factual,
5f2bade0881c719ab026bc2e2962e2ada96cdb25,factual,
6b6d498546f856ac20958f666fc3fd55811347e2,factual,
de3b1145cb4111ea2d4e113f816b537d052d9814,factual,
132f752169adf6dc5ade3e4ca773c11044985da4,factual,
1d9aeeaa6efa1367c22be0718f5a5635a73844bd,multi_hop,Requires contrasting information captured by the GRU with traditional models.
ab895ed198374f598e13d6d61df88142019d13b8,factual,
8795bb1f874e5f3337710d8c3d5be49e672ab43a,factual,
15aeda407ae3912419fd89211cdb98989d9cde58,factual,
c24f7c030010ad11e71ef4912fd79093503f3a8d,factual,
d1909ce77d09983aa1b3ab5c56e2458caefbd442,factual,
fc3f0eb297b2308b99eb4661a510c9cdbb6ffba2,factual,
27c1c678d3862c7676320ca493537b03a9f0c77a,factual,
ccb3d21885250bdbfc4c320e99f25923896e70fa,factual,
82a28c1ed7988513d5984f6dcacecb7e90f64792,factual,
d4a6f5034345036dbc2d4e634a8504f79d42ca69,factual,
54fa5196d0e6d5e84955548f4ef51bfd9b707a32,factual,
a997fc1a62442fd80d1873cd29a9092043f025ad,factual,
7de0b2df60d3161dd581ed7915837d460020bc11,factual,
2711ae6dd532d136295c95253dbf202e37ecd3e7,section_specific,
96356c1affc56178b3099ce4b4aece995032e0ff,factual,
92fc94a4999d1b25a0593904025eb7b8953bb28b,factual,
e56c1f0e9eabda41f929d0dfd5cfa50edd69fa89,factual,
5181527e6a61a9a192db5f8064e56ec263c42661,factual,
334aa5540c207768931a0fe78aa4981a895ba37c,factual,
b8bbdc3987bb456739544426c6037c78ede01b77,factual,
186ccc18c6361904bee0d58196e341a719fb31c2,factual,
fd5412e2784acefb50afc3bfae1e087580b90ab9,factual,
c7f087c78768d5c6f3ff26921858186d627fd4fd,section_specific,
82596190560dc2e2ced2131779730f40a3f3eb8c,factual,
345f65eaff1610deecb02ff785198aa531648e75,section_specific,
b72264a73eea36c828e7de778a8b4599a5d02b39,factual,
24cc1586e5411a7f8574796d3c576b7c677d6e21,factual,
db291d734524fa51fb314628b64ebe1bac7f7e1e,section_specific,
85abd60094c92eb16f39f861c6de8c2064807d02,factual,
